tool,language,audio_file,original_text,transcribed_text,wer,cer,word_accuracy,char_accuracy,whisper_model,timestamp
sarvam,bengali,bengali_0.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 চালু করুন।,"Sh between coconut , beautifully urify and once all aquarium are formed",1.0,1.0,0.0,0.0,base,2026-03-05T10:52:37.693081+00:00
sarvam,bengali,bengali_1.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ বাজার নিয়ন্ত্রণ চালু করুন।,Shoyeon Co. Khoya Purifier 1. A. Bazar Neon Tron Chalukorun,1.0,0.931,0.0,6.9,base,2026-03-05T10:52:40.010225+00:00
sarvam,bengali,bengali_10.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ ফ্যানের গতি 4 সেট করুন।,Dining Robotまわまどれば丸が整理されている,1.0,0.9815,0.0,1.85,base,2026-03-05T10:52:49.345480+00:00
sarvam,bengali,bengali_11.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ নাইট মোড সেট করুন।,Dining Room AR Purifier 1 Airing LED UDZ70 Shared,1.0,0.898,0.0,10.2,base,2026-03-05T10:52:50.725990+00:00
sarvam,bengali,bengali_12.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ 60 মিনিটের সুইচ অফ টাইমার সেট করুন।,Dining Room Air Purifier 1A Hitter Power Chalukorun,1.0,0.9091,0.0,9.09,base,2026-03-05T10:52:52.132043+00:00
sarvam,bengali,bengali_13.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ রিং এলইডি উজ্জ্বলতা 40 সেট করুন।,Dining Room Air Purifier 1-Night Mode Shared,1.0,0.9206,0.0,7.94,base,2026-03-05T10:52:53.476102+00:00
sarvam,bengali,bengali_14.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ টার্বো মোড চালু করুন এবং বাজার নিয়ন্ত্রণ বন্ধ করুন।,Dining Room AR Purifier 1A 180 MHz Suits Off-Timer Shared Corroon.,1.0,0.8795,0.0,12.05,base,2026-03-05T10:52:54.926303+00:00
sarvam,bengali,bengali_15.wav,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ 720 মিনিটের সুইচ অফ টাইমার সেট করুন।,"Dining Room AR Purify R1, A Bajad Nehantran Chalukurun.",1.0,0.9104,0.0,8.96,base,2026-03-05T10:52:56.484349+00:00
sarvam,bengali,bengali_16.wav,ডাইনিং রুমে এয়ার পিউরিফায়ার চালু করুন।,"Dining Room AR Purifier 1, a Faner Goti 3 Shared Corun.",1.0,1.0,0.0,0.0,base,2026-03-05T10:52:57.869131+00:00
sarvam,bengali,bengali_17.wav,আমার শয়নকক্ষ এয়ার পিউরিফায়ার 1 এর অবস্থা কী?,Dining Room AR Purifier 1 Çalukorun,0.875,0.8936,12.5,10.64,base,2026-03-05T10:52:59.093262+00:00
sarvam,bengali,bengali_18.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 চালু করুন।,Dining Room Air Purifier 1 Aaring LED Ujjalota 200 Shared Core,1.0,1.0,0.0,0.0,base,2026-03-05T10:53:00.496480+00:00
sarvam,bengali,bengali_19.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ রিং এলইডি উজ্জ্বলতা 70 সেট করুন।,Dining Room AR Purifier 100A 180 Min switch of timer shed korun.,1.0,0.9077,0.0,9.23,base,2026-03-05T10:53:02.113339+00:00
sarvam,bengali,bengali_2.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ হিটার পাওয়ার চালু করুন।,,1.0,1.0,0.0,0.0,base,2026-03-05T10:53:11.178752+00:00
sarvam,bengali,bengali_20.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ নাইট মোড সেট করুন।,Living room Air idealsu 10,1.0,0.9216,0.0,7.84,base,2026-03-05T10:53:18.856929+00:00
sarvam,bengali,bengali_21.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ 180 মিনিটের সুইচ অফ টাইমার সেট করুন।,Leaving Room AR Purifier 1S60 Min. Switch of Timer Shared Corrun.,1.0,0.913,0.0,8.7,base,2026-03-05T10:53:20.659205+00:00
sarvam,bengali,bengali_22.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ বাজার নিয়ন্ত্রণ চালু করুন।,leaving room air to refair one in night mode.,1.0,0.9167,0.0,8.33,base,2026-03-05T10:53:21.964342+00:00
sarvam,bengali,bengali_23.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ ফ্যানের গতি 3 সেট করুন।,leaving room air purifier 1 if fan power bondhoquon,0.9091,0.9107,9.09,8.93,base,2026-03-05T10:53:23.309254+00:00
sarvam,bengali,bengali_24.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 চালু করুন।,Living Room Air Purifier 1 a Fan Power Chalukurun a Bomb Fan Goti 4 Shared Kuruun.,1.0,1.0,0.0,0.0,base,2026-03-05T10:53:24.902296+00:00
sarvam,bengali,bengali_25.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 1 এ রিং এলইডি উজ্জ্বলতা 200 সেট করুন।,Turning Tools To生き troinated environment,1.0,0.9394,0.0,6.06,base,2026-03-05T10:53:33.995909+00:00
sarvam,bengali,bengali_26.wav,ডাইনিং রুম এয়ার পিউরিফায়ার 100 এ 180 মিনিটের সুইচ অফ টাইমার সেট করুন।,Leaving room air purifier 1 bond hukorun,1.0,0.9155,0.0,8.45,base,2026-03-05T10:53:35.423723+00:00
sarvam,bengali,bengali_27.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 চালু করুন।,Living Room Air Purifier 1 Bondho Kaurun,0.8571,0.95,14.29,5.0,base,2026-03-05T10:53:36.989413+00:00
sarvam,bengali,bengali_28.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 এ 60 মিনিটের সুইচ অফ টাইমার সেট করুন।,"Living Room Air Purifier 1, a fan air gothi 2 shade korun.",1.0,0.8806,0.0,11.94,base,2026-03-05T10:53:38.435647+00:00
sarvam,bengali,bengali_29.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 এ নাইট মোড চালু করুন।,Ama personajes verticallywnzu,1.0,0.9608,0.0,3.92,base,2026-03-05T10:53:46.539962+00:00
sarvam,bengali,bengali_3.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 এর ফ্যান পাওয়ার বন্ধ করুন।,"Shayan Kokko AR Purifier 1, A Night Mode Shared",1.0,0.8772,0.0,12.28,base,2026-03-05T10:53:48.063818+00:00
sarvam,bengali,bengali_30.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 এ ফ্যান পাওয়ার চালু করুন এবং ফ্যান গতি 4 সেট করুন।,شرن کو کسی چانو کرون,1.0,0.9506,0.0,4.94,base,2026-03-05T10:53:49.484920+00:00
sarvam,bengali,bengali_31.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 এ ফ্যানের গতি 8 সেট করুন।,شاین کو کھر ایسی کے تاپمترا ایٹین دیگری شیٹ کرون,1.0,0.8727,0.0,12.73,base,2026-03-05T10:53:51.203530+00:00
sarvam,bengali,bengali_32.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 বন্ধ করুন।,Shion Fckr AC Teleport through AC,1.0,0.925,0.0,7.5,base,2026-03-05T10:53:59.213405+00:00
sarvam,bengali,bengali_33.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 বন্ধ করুন।,دائنگ رو میں اسی چالو کرون,1.0,0.875,0.0,12.5,base,2026-03-05T10:54:00.765156+00:00
sarvam,bengali,bengali_34.wav,লিভিং রুম এয়ার পিউরিফায়ার 1 এ ফ্যানের গতি 2 সেট করুন।,AIDS2-calu Room,1.0,0.9818,0.0,1.82,base,2026-03-05T10:54:08.533359+00:00
sarvam,bengali,bengali_35.wav,আমার শয়নকক্ষে কী কী ডিভাইস আছে?,شائم کو کر ایسی تدری موڈشیٹ کرون,1.0,0.9062,0.0,9.38,base,2026-03-05T10:54:22.912976+00:00
sarvam,bengali,bengali_36.wav,শয়নকক্ষে AC চালু করুন।,شاین کو کھر ایسی تسلیپ مور چانو کرون,1.0,1.0,0.0,0.0,base,2026-03-05T10:54:24.572020+00:00
sarvam,bengali,bengali_37.wav,শয়নকক্ষের AC তে তাপমাত্রা 18 ডিগ্রি সেট করুন।,شوائن کپکھر ایسی تبھاٹکل سوین پوجیشن 5 سیٹ کرون,1.0,0.9565,0.0,4.35,base,2026-03-05T10:54:26.414002+00:00
sarvam,bengali,bengali_38.wav,শয়নকক্ষের AC তে ডিসপ্লে মোড চালু করুন।,Shion cup kire seethe sky hai kalar chalukurun,1.0,1.0,0.0,0.0,base,2026-03-05T10:54:27.926458+00:00
sarvam,bengali,bengali_39.wav,ডাইনিং রুমে AC চালু করুন।,Living Room AC2 Charlu Coroon among Air Horizontal Swing Position 2A Set Coroon.,1.0,1.0,0.0,0.0,base,2026-03-05T10:54:29.625897+00:00
sarvam,bengali,bengali_4.wav,অফিস AC 2 চালু করুন।,Shoyeon Coqqa AR Purify 1 is 60 Minutes Switch of Timer Shared Corone.,1.0,1.0,0.0,0.0,base,2026-03-05T10:54:31.339846+00:00
sarvam,bengali,bengali_40.wav,শয়নকক্ষের AC তে ড্রাই মোড সেট করুন।,иров Gir chairs firm,1.0,0.9167,0.0,8.33,base,2026-03-05T10:54:39.658216+00:00
sarvam,bengali,bengali_41.wav,শয়নকক্ষের AC তে স্লিপ মোড চালু করুন।,woundle 1 kg,1.0,0.9459,0.0,5.41,base,2026-03-05T10:54:47.964533+00:00
sarvam,bengali,bengali_42.wav,শয়নকক্ষের AC তে ভার্টিক্যাল সুইং পজিশন 5 এ সেট করুন।,Office ACTO A Phantom Goati hi suspended,1.0,0.8679,0.0,13.21,base,2026-03-05T10:54:56.076907+00:00
sarvam,bengali,bengali_43.wav,শয়নকক্ষের AC তে স্কাই হাই কালার চালু করুন।,wenigBOca stambert,1.0,0.9535,0.0,4.65,base,2026-03-05T10:55:04.443805+00:00
sarvam,bengali,bengali_44.wav,লিভিং রুম AC 2 চালু করুন এবং এর হরিজন্টাল সুইং পজিশন 2 এ সেট করুন।,Leaving room AC2 a tapmatra 30°C,1.0,0.9091,0.0,9.09,base,2026-03-05T10:55:06.095988+00:00
sarvam,bengali,bengali_45.wav,লিভিং রুম AC 2 এ টার্বো মোড চালু করুন।,"جوگا رو مسی 1 شالو کرون, ایک سویس افٹائمہ 20 مینٹے شید کرون.",1.0,1.0,0.0,0.0,base,2026-03-05T10:55:08.044124+00:00
sarvam,bengali,bengali_46.wav,শয়নকক্ষের AC তে চাইল্ড লক চালু করুন।,جو گارومسی وانے ہیومیکن مورچ چالو کرون,1.0,0.9459,0.0,5.41,base,2026-03-05T10:55:09.499436+00:00
sarvam,bengali,bengali_47.wav,অফিস AC 2 এ ফ্যানের গতি হাই সেট করুন।,Wasser해� scored Shivend Baak,1.0,0.9189,0.0,8.11,base,2026-03-05T10:55:17.659363+00:00
sarvam,bengali,bengali_48.wav,শয়নকক্ষের AC তে হরিজন্টাল সুইং অটো সেট করুন।,Shuan Cocker S.C. Teikomot Chalukorun,1.0,0.9333,0.0,6.67,base,2026-03-05T10:55:19.360071+00:00
sarvam,bengali,bengali_49.wav,লিভিং রুম AC 2 এ তাপমাত্রা 30 ডিগ্রি সেট করুন।,شوان کو کھر AC پیلائیت انتنسیٹیلو سیٹ کرون,1.0,0.8913,0.0,10.87,base,2026-03-05T10:55:22.490317+00:00
sarvam,bengali,bengali_5.wav,যোগা রুম AC 1 চালু করুন এবং এর সুইচ অফ টাইমার 20 মিনিটে সেট করুন।,شاین کوکھا ایر پیوریفائر 1 ایرینگ ایلیڈی اضجلتا 40 شیٹ کرون,1.0,0.8769,0.0,12.31,base,2026-03-05T10:55:27.683996+00:00
sarvam,bengali,bengali_50.wav,যোগা রুম AC 1 এ হিউমিকন মোড চালু করুন।,شاینا کوکھا اسی تو چالو کرم,1.0,0.8684,0.0,13.16,base,2026-03-05T10:55:29.126271+00:00
sarvam,bengali,bengali_51.wav,শয়নকক্ষের AC তে চাইল্ড লক মোড বন্ধ করুন।,"Shoyeon Kokko Situ, a vertical swing position for a ebom horizontal swing position 3a set korun.",1.0,1.0,0.0,0.0,base,2026-03-05T10:55:31.042919+00:00
sarvam,bengali,bengali_52.wav,শয়নকক্ষের AC তে ইকো মোড চালু করুন।,Shooinko kqu o e assist to a Daar ko Maap moon,1.0,1.0,0.0,0.0,base,2026-03-05T10:55:39.430478+00:00
sarvam,bengali,bengali_53.wav,শয়নকক্ষের AC তে লাইট ইনটেনসিটি লো সেট করুন।,شائنцوق کہ 꺼 Ac2 에 Fanair Godi medium щ都是,1.0,0.9091,0.0,9.09,base,2026-03-05T10:55:47.978338+00:00
sarvam,bengali,bengali_54.wav,শয়নকক্ষ AC 2 চালু করুন।,"Dining Room AC1-CALO-KORUN, EBANG-ER-MONLIGHT-FUTURE-FORWARD-SET-KORUN",1.0,1.0,0.0,0.0,base,2026-03-05T10:55:50.231297+00:00
sarvam,bengali,bengali_55.wav,শয়নকক্ষ AC 2 এ ভার্টিক্যাল সুইং পজিশন 4 এ এবং হরিজন্টাল সুইং পজিশন 3 এ সেট করুন।,دائنیگ روم ایسیوانے کپمترا 50 دیگری سیٹ کروں,1.0,0.9136,0.0,8.64,base,2026-03-05T10:55:51.860935+00:00
sarvam,bengali,bengali_56.wav,শয়নকক্ষ AC 2 এ ইকো মোড চালু করুন।,Dining Room AC1 A Variable Capacity C1 Shared Coron,1.0,1.0,0.0,0.0,base,2026-03-05T10:55:53.259368+00:00
sarvam,bengali,bengali_57.wav,শয়নকক্ষ AC 2 এ ফ্যানের গতি মিডিয়াম সেট করুন।,"Dining Room S1 SLEEP mode, Chalukorun",1.0,0.9348,0.0,6.52,base,2026-03-05T10:55:54.671460+00:00
sarvam,bengali,bengali_58.wav,ডাইনিং রুম AC 1 চালু করুন এবং এর মুনলাইট ফিউচার ফরওয়ার্ড সেট করুন।,neu floo,1.0,0.9851,0.0,1.49,base,2026-03-05T10:56:02.355914+00:00
sarvam,bengali,bengali_59.wav,ডাইনিং রুম AC 1 এ তাপমাত্রা 50 ডিগ্রি সেট করুন।,wichtigerری cuffاصم آینج تحنج سوق کے فخری صلابتے کے ہے تحنج ذریفfit میں عائم مواد lugar مTIjmiken,1.0,1.0,0.0,0.0,base,2026-03-05T10:56:20.068996+00:00
sarvam,bengali,bengali_6.wav,ডাইনিং রুম AC 1 এ ভ্যারিয়েবল ক্যাপাসিটি C1 সেট করুন।,"Shayan Co co-air Purifier 1, 8 Arbomod Chalukurun, ebom Bajar Neon Trun Bondukurun.",1.0,1.0,0.0,0.0,base,2026-03-05T10:56:22.054428+00:00
sarvam,bengali,bengali_60.wav,ডাইনিং রুম AC 1 এ স্লিপ মোড চালু করুন।,Start EC-1 körúν,1.0,0.8947,0.0,10.53,base,2026-03-05T10:56:35.110208+00:00
sarvam,bengali,bengali_61.wav,স্টাডিতে AC চালু করে সাইলেন্ট মোডে সেট করুন।,Rayanna vare vata heatタar çağlukorun,1.0,0.9091,0.0,9.09,base,2026-03-05T10:56:44.537129+00:00
sarvam,bengali,bengali_62.wav,স্টাডির AC এ 100 মিনিটের সুইচ অফ টাইমার সেট করুন এবং মুনলাইট ব্যালেন্স সেট করুন।,Theoina e.c3 talukore fan mode set kon,1.0,0.9125,0.0,8.75,base,2026-03-05T10:56:53.303983+00:00
sarvam,bengali,bengali_63.wav,স্টাডি AC 1 বন্ধ করুন।,Kitsaan Ac 3 A display mode,1.0,1.0,0.0,0.0,base,2026-03-05T10:57:00.899181+00:00
sarvam,bengali,bengali_64.wav,রান্নাঘরে ওয়াটার হিটার চালু করুন।,"kidsrumaici sabford ,",1.0,0.9412,0.0,5.88,base,2026-03-05T10:57:13.887202+00:00
sarvam,bengali,bengali_65.wav,কিচেন AC 3 চালু করে ফ্যান মোডে সেট করুন।,Kids Room AC1A Fence Speed Auto Set Korn,1.0,0.875,0.0,12.5,base,2026-03-05T10:57:17.990098+00:00
sarvam,bengali,bengali_66.wav,কিচেন AC 3 এ ডিসপ্লে মোড চালু করুন।,افیس اسے one شالو کریں بھریابول کیپسیٹسی five سیٹ کرون,1.0,1.0,0.0,0.0,base,2026-03-05T10:57:21.445321+00:00
